h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.0629613772,0.0429631658,-0.3333745003,0.0433824770,0.0164681580,0.0059033060,0.2719641924,0.0114375679,-0.2373766154,0.0544802174,0.0139421746,0.0038619642,0.0192122441,0.0063195177
1,0.0804340988,0.0227363538,0.6138851643,0.1465533078,0.0585066192,0.0107601164,0.2218394428,0.0501673259,-0.6016247869,0.1041726097,0.0126570966,0.0066515026,0.0748403892,0.0089015868
2,-0.0268336069,0.0409194902,0.5521062016,0.0950830951,0.0492139757,0.0146750072,-0.0325357877,0.0498425886,-0.3841111362,0.1390843689,0.0236278344,0.0040187538,0.0689345002,0.0163051020
3,0.0200750567,0.0455612093,0.1596780270,0.0630749613,-0.0085270787,0.0153143294,-0.0346139036,0.0465234444,-0.1399107128,0.0942227617,0.0163123179,0.0068479930,-0.0008075808,0.0086922878
4,-0.1191836745,0.0205497593,-0.2813046873,0.0643087253,-0.0466899797,0.0144572761,-0.1935524642,0.0337976441,-0.0112191187,0.1056149676,-0.0186745860,0.0016553928,-0.0671922863,0.0156473890
5,0.1017818004,0.0502133891,-0.1626882106,0.0612731762,-0.0187446624,0.0163079221,-0.0234414656,0.0404417850,0.0189033989,0.1527748853,-0.0156652648,0.0091780713,-0.0362297297,0.0096345460
6,0.0403138250,0.0508370697,-0.0648658276,0.0430126339,0.0069420580,0.0148161314,0.0529101081,0.0229594447,-0.0686371028,0.1277440041,0.0033484418,0.0053548669,-0.0035351466,0.0093523124
7,-0.0303323641,0.0434850603,0.0058383727,0.0367930755,0.0157971252,0.0081734573,0.0566064566,0.0277848504,-0.1378770322,0.0782042742,-0.0032882020,0.0055241124,0.0171292704,0.0084106633
8,-0.1234465614,0.0370480046,-0.0714787617,0.0556355193,-0.0011448433,0.0099583073,0.0063449061,0.0250506718,-0.0682546347,0.0503727719,-0.0231220759,0.0044650799,0.0228787214,0.0081626764
9,0.0643400177,0.0374297388,-0.1893095374,0.0504781045,0.0284399465,0.0073909927,0.0671391264,0.0200305916,-0.1698409170,0.0655679554,-0.0145338299,0.0053340136,0.0365306027,0.0049433387
10,-0.1065410301,0.0218970757,-0.2783297002,0.0731997266,0.0536262803,0.0148951309,0.0182498507,0.0204850994,-0.3786094189,0.1707520187,0.0104163410,0.0046702973,0.0540319942,0.0118532507
