h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,-0.6552562714,0.1670482159,-0.0195394997,0.1354331523,-0.1257717162,0.0675412491,0.1058374047,0.1170684323,0.0111912908,0.7599368691,0.0831263885,0.0293786488,-0.0401120409,0.0796604604
1,-0.8781646490,0.3474847674,-0.8092885613,0.2608307898,0.1167127043,0.2034747303,-0.0276238173,0.1451334208,-0.5940248370,1.2868160009,0.2022233158,0.0578585416,0.0931063667,0.2639707029
2,-1.1062836647,0.5243751407,-1.3065785170,0.3107561767,-0.1042211726,0.1395044625,-0.3864157498,0.3551402092,1.1589828730,0.8365536332,0.0073602959,0.0407787114,-0.0873673558,0.1751465350
3,-0.3135707378,0.1471429765,-1.4573266506,0.4133009017,0.0214579944,0.0930111185,-0.1078740507,0.1833298206,1.6623245478,1.1244783401,-0.0185422078,0.0395022407,-0.1047137752,0.2258820683
4,0.3649807274,0.1803874969,-0.9731269479,0.2931796610,0.1855075359,0.0753269643,-0.1360235214,0.2294323444,0.5219077468,0.7603105903,0.0390566699,0.0222221147,0.1948957592,0.1199387684
5,0.5763961673,0.2384011000,-0.0624515079,0.2833101153,0.1169486567,0.1313592494,-0.0846093968,0.1568222046,0.3307068348,0.6691197157,-0.0728868023,0.0142793441,0.3371041715,0.1353827268
6,0.3185728490,0.1977904290,0.2115336210,0.2239125818,0.4009628296,0.1350919455,0.0919092670,0.2287422866,-1.3985685110,0.9889661074,-0.0915724337,0.0274386778,0.5047695637,0.0903610438
7,0.4182095230,0.3449526727,0.6387008429,0.1867915392,0.1101458147,0.1246270388,0.0546645820,0.3724627793,-1.0420056581,0.7219549417,-0.0101930629,0.0312929526,0.1620415896,0.2139097303
8,0.5030592680,0.0974087268,0.5294700265,0.2167888582,0.0463318564,0.0935058072,-0.1091236770,0.1859743744,-2.3784904480,0.6213575602,-0.0220414400,0.0394425765,0.0264744125,0.1302898377
9,0.2746664882,0.1413029879,0.5880920887,0.2764071524,-0.0910738409,0.0623922497,-0.1819050908,0.1222566590,-2.8639845848,0.5837536454,-0.0703284889,0.0236899611,-0.0175708849,0.1014825627
10,-0.0248887837,0.2439527363,0.2510656416,0.1269622296,-0.2488058358,0.0982614756,-0.3487631381,0.1282887757,-3.0890226364,0.8615044951,0.0033045341,0.0257436763,-0.2085250914,0.0970507115
