h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.2254836708,0.0408381037,0.3684793711,0.1948394179,-0.0123782707,0.0216712821,0.2066607475,0.0171863511,0.0279915370,0.1080380529,0.0173215251,0.0048224661,-0.0171702635,0.0172743574
1,0.5021582246,0.1090268344,2.0221400261,0.4277029335,0.0489787646,0.0335267261,0.3007525504,0.0216988567,0.4081273377,0.1632293165,0.0049356637,0.0053600944,0.0616615117,0.0224347543
2,0.5699379444,0.1547882259,2.3109273911,0.6331433654,0.1321714520,0.0253717341,0.2165623009,0.0775903165,1.4250173569,0.4434772730,0.0025676428,0.0063793939,0.1519451141,0.0234264825
3,0.4895885289,0.1599591821,1.7646858692,0.6392869949,0.1198045239,0.0404856838,0.1296972334,0.0495707914,1.8877640963,0.6477214694,0.0142473308,0.0034308101,0.1227016896,0.0305094253
4,0.0545610450,0.1326403320,0.0505624115,0.5050799251,0.0914627388,0.0521615483,-0.0510447584,0.0427499525,1.7172794342,0.6976925731,0.0043556690,0.0102839246,0.0506383143,0.0325033814
5,-0.3051507771,0.1718615592,-2.1361885071,0.7794331312,0.0588052906,0.0508701205,-0.1107620075,0.0501297861,0.7895706892,0.5119813681,-0.0095881438,0.0055710496,-0.0023499373,0.0162896644
6,-0.4595095217,0.2229750454,-2.7451798916,0.9685004354,0.0155647155,0.0371798612,-0.0979333147,0.0569421388,-0.2687872648,0.3739899397,-0.0133042308,0.0052615651,-0.0097361431,0.0298474357
7,-0.3849942982,0.2058540285,-2.0769591331,0.8647935987,-0.0482111163,0.0525601357,-0.1316919178,0.0684028640,-0.9476108551,0.4121768177,-0.0129179452,0.0043478683,-0.0535310581,0.0389814377
8,-0.3810418844,0.1269958317,-0.9952397943,0.4784198701,-0.0856493115,0.0545047745,-0.1403103769,0.0616263822,-1.0184385777,0.3926675022,-0.0185439344,0.0029180297,-0.0799046755,0.0398359671
9,-0.0046781930,0.0547109917,0.0294710714,0.2128646225,-0.0622731410,0.0426542126,0.0871900767,0.0241981819,-0.7687062621,0.2804010510,-0.0094016800,0.0042925919,-0.0576807819,0.0313529000
10,0.1577242017,0.1085050553,1.0286103487,0.3799217045,0.0142413443,0.0176852923,0.1719058454,0.0850992128,-0.5312548876,0.1900160313,0.0034067102,0.0032994985,0.0144733917,0.0125799607
