h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.1023088619,0.0400774069,-0.3766277432,0.0337469131,0.0528507903,0.0156597439,0.3502481580,0.0239566509,-0.4836139679,0.1171384901,0.0449971780,0.0053006024,0.0882418305,0.0159203876
1,-0.0595761351,0.0784391090,1.0337318182,0.0645317808,0.0106854336,0.0175409876,0.0339472070,0.0505754761,-0.5485146046,0.1130413562,0.0336036906,0.0105367983,0.0577608161,0.0111391293
2,0.0051626279,0.0827933550,0.4795996547,0.0647944734,-0.0101851188,0.0233966261,-0.1129065827,0.0219500158,0.1408555508,0.1095371768,0.0027725247,0.0063962406,-0.0522013046,0.0292721484
3,0.1626861095,0.0395301469,0.0136418771,0.0450735912,-0.0342200212,0.0348984078,0.1126732528,0.0513199493,0.0731572062,0.1581988186,-0.0163397305,0.0106473276,-0.0383443087,0.0197399370
4,-0.1104257330,0.0922257081,-0.3519533873,0.0510455444,-0.1013623178,0.0196045116,-0.1704490930,0.0341801308,-0.1381139159,0.1656091809,-0.0242902469,0.0113916835,-0.0648665726,0.0117382230
5,0.1997550428,0.0836443827,0.0202046055,0.1131265983,0.0024905121,0.0384059697,0.1283444762,0.0321049094,-0.0624611862,0.0674584657,-0.0157236736,0.0062855985,-0.0033046061,0.0265097003
6,-0.1247582063,0.0741818324,0.1884285361,0.1136473343,-0.0126916068,0.0555053167,0.1173308417,0.0338658541,0.3174748421,0.1916367859,-0.0447829962,0.0138330068,0.0156747513,0.0248756129
7,0.1399886161,0.1168604121,0.0216097739,0.0775055289,0.0245043095,0.0228950046,0.2433979213,0.0393530056,0.3451683223,0.0867977887,0.0156378951,0.0095618265,0.0572328083,0.0272454564
8,0.0373823121,0.0335527509,-0.3232066929,0.0551410317,0.0008903010,0.0128566995,0.0818262696,0.0518791936,-0.1918641329,0.1594510078,-0.0116054686,0.0148629788,0.0063944315,0.0109542692
9,0.0265153125,0.0339054167,-0.3376791775,0.0450190641,0.0533271693,0.0089592729,0.0775472000,0.0489887185,-0.7116554976,0.0972673148,-0.0139183989,0.0086771036,0.0468084849,0.0162785649
10,-0.2092241347,0.0612670332,-0.3189086914,0.0617160201,0.0105616869,0.0423052199,-0.1782040745,0.0415361784,-0.6550946236,0.0835507661,0.0419390090,0.0080694286,-0.0406933241,0.0230063125
