h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.0723820850,0.0267640259,-0.5405722857,0.0464020185,0.0237640813,0.0175838955,0.2188226432,0.0351293758,-0.4360082150,0.1312956065,0.0157082323,0.0052678483,0.0568954982,0.0215628128
1,0.0945920125,0.0837724358,0.7229885459,0.0774520561,0.0235501379,0.0200879518,0.0236405581,0.0262155868,-0.7389904857,0.1483730227,0.0353759378,0.0109590581,0.0515168384,0.0208303481
2,-0.0480972417,0.0802605674,0.4739678800,0.0484486520,0.0122673577,0.0274959691,-0.2110332400,0.0395430438,-0.3210761845,0.1045935974,0.0279548597,0.0080314679,-0.0252214409,0.0310126524
3,0.0437168144,0.0878203735,0.2015402168,0.0370379984,-0.0304056611,0.0266111437,-0.0815737695,0.0648774803,-0.0347448923,0.0779336616,-0.0041170260,0.0075928099,-0.0289756581,0.0362916999
4,-0.1205403954,0.0493700542,-0.1879325509,0.0405976884,-0.0557981543,0.0219111592,-0.2045614123,0.0455078967,0.1585775614,0.1832247972,-0.0353125855,0.0101913102,-0.0027441189,0.0143694915
5,0.2593457997,0.0763177946,-0.0068037473,0.0686745942,0.0089021400,0.0365985632,0.1244504303,0.0276026540,0.1593800187,0.1487378180,-0.0119858235,0.0054187062,0.0270890296,0.0213462766
6,0.0004688342,0.0737435669,0.0726469979,0.0627615526,0.0226369798,0.0499825291,0.1576920450,0.0294927657,0.0879792124,0.1970159113,-0.0093868254,0.0158015210,0.0554933921,0.0582978986
7,0.0827746168,0.1204253584,0.0244766213,0.0724931061,0.0572806671,0.0166475177,0.1989871114,0.0308673605,-0.1287172139,0.1371600777,0.0137997549,0.0063452781,0.0720151439,0.0514641069
8,-0.1013092324,0.0648994520,-0.2301983237,0.1242910922,0.0308951195,0.0128410449,0.0465044752,0.0330911055,-0.3759788275,0.0552888811,-0.0214883257,0.0100763636,0.0111703137,0.0223049279
9,-0.0652570948,0.0609854981,-0.4021142721,0.0896160975,0.0588292629,0.0226974003,0.0442881174,0.0615870170,-0.7662897110,0.0923549831,0.0023069549,0.0106477821,0.0292903204,0.0168340392
10,-0.2558046579,0.0353897400,-0.4769636691,0.0471370071,0.0255894177,0.0454144999,-0.2017356455,0.0630049184,-0.8696640134,0.1824684292,0.0492193922,0.0045838710,-0.0325513892,0.0431329459
